MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
DZB1-3;Bone cruncher;13100000;1460000000;257.18;111.41;6996.7;2216.41;276.93;340000;2090;10.73;160.16;3417.42
DZB2-1A;Bone cruncher;6230000;251000000;144.61;40.3;8365.34;1465.39;149.32;76700;1295;4.74;164.36;2442.75
DZB2-1B;Bone cruncher;5020000;146000000;110.59;29.08;7324.13;1127.52;115.01;47800;1050;4.24;147.17;2506.08
DZB2-2;Bone cruncher;35900000;3430000000;276.04;95.55;12469.57;3574.25;247.3;295000;3065;8.6;171.11;8379.33
DZB2-4;Bone cruncher;32300000;1800000000;188.98;55.68;1057.67;4112.18;173.21;114000;2040;9.29;12.7;44263.55
DZB2-4;Bone cruncher;9860000;500000000;164.4;50.71;5744.07;2368.08;146.21;131000;2490;7.38;168.18;6917.05
DZB2-6;Bone cruncher;19300000;1690000000;230.01;77.32;8824.11;2737.11;225.16;270000;2455;9.89;131.44;10785.37
DZB2-7;Bone cruncher;22500000;2880000000;315.97;117.12;9053.92;3575.03;322.77;668000;4320;12.71;160.2;8213.63
DZB2-8;Bone cruncher;16000000;1790000000;270.03;111.9;4632.33;4895.18;299.2;772000;5325;9.15;172.71;19759.86
DZB2-9;Bone cruncher;4840000;492000000;252.95;101.55;3448.99;1943.18;248.01;405000;3535;6.97;171.37;15156.56
DZB2-10;Bone cruncher;3480000;178000000;198.96;51.14;3923.05;1169.25;198.07;106000;1345;8.49;159.84;2564.78
DZB3-1;Bone cruncher;3400000;343000000;229.08;100.74;1460.95;3391.07;228.75;357000;3530;14.42;172.5;1883.61
DZB3-2B;Bone cruncher;1930000;138000000;176.75;71.46;2903.78;985.08;181.99;83800;750;3.62;132.55;506.99
DZB3-2A;Bone cruncher;3370000;378000000;247.04;112.21;1654.42;3182.06;250.18;489000;3515;6.05;164.62;7060.38
DZB3-3;Bone cruncher;11500000;1000000000;243.52;86.91;9415.53;1745.21;253.03;192000;2025;20.57;152.65;2834.55
DZB3-4;Bone cruncher;36700000;6860000000;472.63;187.06;10251.75;4158.61;367.98;729000;4615;14.17;168.24;15659.26
DZB3-5;Bone cruncher;24100000;2470000000;299.68;105.35;9498.84;2691.33;322.56;455000;2765;16.32;163.73;8179.22
DZB4-1;Bone cruncher;40900000;7720000000;343.4;188.59;14367.91;3641.99;233.43;442000;3605;6.72;169.45;10768.42
DZB4-2;Bone cruncher;29600000;4220000000;297.21;140.07;10278.45;3856.21;267.13;412000;3055;8.25;178.35;8597.51
DZB4-3;Bone cruncher;24400000;2010000000;254.65;82.41;8486.03;3965.8;242.82;375000;2865;7.08;166.15;6464.56
DZB4-5;Bone cruncher;45000000;5800000000;372.47;128.92;12151.94;4726.3;337.13;409000;4235;21.5;172.71;16796.53
DZB5-3;Bone cruncher;33400000;2520000000;220.83;75.58;12380.39;4193.71;197.34;293000;3510;6.84;169.6;11576.59
DZB5-4;Bone cruncher;9150000;455000000;123.79;49.76;6957.23;1933.5;130.93;128000;1950;7.68;165.89;4429.13
DZB6-1;Bone cruncher;52700000;5120000000;284.68;97.14;17318.87;4355.49;294.49;658000;4690;7.96;172.72;27220.58
DZB6-3;Bone cruncher;18800000;5170000000;693.03;274.68;6350.42;3827.17;732.56;792000;2625;32.19;121.18;1559.85
DZB6-4;Bone cruncher;10400000;1950000000;370.37;186.74;4283.06;3389.13;423.74;666000;3060;15.89;154.39;3810.03
