MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
WST1-8;Flesh Slicer;295000;4330000;46.93;14.69;640.65;707.26;41.67;9560;585;2.69;166.15;1479.03
WST1-9;Flesh Slicer;338000;8260000;69.31;24.43;724.81;687.32;82.88;22700;530;3.09;146.49;483.04
WST1-11;Flesh Slicer;2550000;93100000;110.07;36.52;3872.67;967.99;98.57;48000;1390;2.92;158.05;9218.5
WST1-12;Flesh Slicer;1020000;76700000;169.82;75.18;1065.68;1110.57;119.47;62200;1045;4.85;154.12;1262.51
WST1-15;Flesh Slicer;1730000;167000000;168.77;96.31;1418.31;2082.2;189.87;161000;1415;6.35;166.81;3423.53
WST1-17;Flesh Slicer;667000;21300000;92.72;31.86;1075.18;766.7;93.02;33500;715;4.08;151.11;748.51
WST1-18A;Flesh Slicer;601000;24000000;84.12;39.94;1060.34;875.3;81.33;40600;995;2.37;160.87;1501.21
WST1-18B;Flesh Slicer;514000;17600000;73.12;34.17;984.59;763.81;73.12;32500;785;3.01;160.5;1182.38
WST1-21;Flesh Slicer;3050000;318000000;247.47;104.5;2755.85;1639.66;258.59;225000;1650;9.68;143.64;1403.27
WST1-23;Flesh Slicer;1910000;142000000;180.57;74.25;1730.39;1325.04;182.73;150000;2115;7.33;160.2;3201.08
WST1-3;Flesh Slicer;386000;20800000;104.29;53.94;991.98;632.37;110.37;34200;520;5.32;140.34;444.28
NGO25-3-1;Bone cruncher;619000;310000000;169;50.12;4267;2332.55;174.78;209000;2395;8.71;163.58;4767.01
NGO25-3-3;Bone cruncher;2660000;172000000;159.98;64.76;4316.62;816;146.94;61800;850;5.01;146.73;832.28
NGO25-3-7;Bone cruncher;1960000;75900000;96.11;38.63;1949.33;1582.92;114.4;63300;1005;2.97;159.35;1478.61
NGO25-6-2;Bone cruncher;5220000;564000000;267.93;107.93;2589.39;2826.95;241.88;410000;2815;5.21;161.76;4582.58
NGO25-7-1;Bone cruncher;5080000;352000000;225.35;69.25;5013.29;1366.49;214.74;141000;1455;3.36;150.98;1651.11
NGO25-18-1;Bone cruncher;3310000;211000000;215.62;63.9;3163.37;2199.23;208.59;208000;2150;9.29;155.91;3544.51
NGO25-18-2;Bone cruncher;10400000;706000000;184.13;67.74;5968.97;2342.9;196.45;282000;2520;6.25;162.23;4463.52
NGO25-21-1;Bone cruncher;2730000;136000000;114.4;49.67;2448.59;1440.71;109.22;77000;1275;2.03;163.36;2458.72
NGO25-22-1;Bone cruncher;447000;32400000;163.83;72.46;842.63;764;139.72;59400;775;6.15;138.18;557.44
NGO25-14-1;Bone cruncher;2720000;386000000;317.9;142.05;3555.33;1255.44;302.53;238000;1465;4.39;136.55;1055.39
NGO25-14-2;Bone cruncher;757000;53200000;172.26;70.25;1215.48;945.44;177.67;87800;1015;3.71;135.44;745.97
NGO25-14-3;Bone cruncher;5250000;1140000000;592.78;217.58;3349.72;1887.57;575.99;514000;2065;20.71;117.5;1142.1
NGO25-14-5;Bone cruncher;3160000;489000000;367.72;154.65;2476.15;1328.26;369.16;287000;1500;6.08;126.3;914.23
NGO25-10-2;Bone cruncher;4290000;355000000;222.67;82.72;5359.92;1217.27;252.9;184000;1455;5.09;141.38;1218.83
NGO25-10-3;Bone cruncher;6520000;817000000;296.03;125.38;5209.1;2758.19;299.32;423000;2750;2.93;151.36;4425.51
NGO25-1-1;Bone cruncher;4020000;243000000;180.99;60.29;3971.66;1583.73;164.65;96000;1205;7.88;143.23;951.29
NGO25-1-2;Bone cruncher;2000000;65800000;104.98;32.92;4026.02;823.81;103.91;20600;690;9.17;149.04;957.81
NGO25-1-4;Bone cruncher;5960000;274000000;101.12;45.96;4777.3;2808.64;92.54;95500;2845;4.45;170.57;18191.97
